STATE,1 EARNER,2 PEOPLE,3 PEOPLE,4 PEOPLE
Alabama,59605,72419,86685,94373
Alaska,82512,98650,114293,131159
Arizona,66340,83660,94526,107944
Arkansas,54658,67179,77167,90146
California,74819,96600,109458,128533
Colorado,77331,101720,120195,135820
Connecticut,81285,101344,124441,149181
Delaware,75674,92239,104443,128053
Florida,62973,77639,89908,104069
Georgia,62468,79803,90959,112675
Hawaii,78745,94677,113594,133656
Idaho,68781,78980,90806,106407
Illinois,66950,86442,105897,125022
Indiana,60351,77580,91431,105581
Iowa,61283,83592,98987,120308
Kansas,64518,82685,100333,111192
Kentucky,57509,69905,83622,102067
Louisiana,53821,66051,77910,97149
Maine,66369,79644,103965,114591
Maryland,81293,104569,127386,151138
Massachusetts,81170,103404,127323,161149
Michigan,64579,77600,95775,114456
Minnesota,72319,93855,117426,141903
Mississippi,51554,62496,74909,84767
Missouri,59605,76787,91333,105914
Montana,65242,80779,84585,111516
Nebraska,63813,83412,98600,121455
Nevada,64412,81020,88992,99819
New Hampshire,84017,99807,130391,153749
New Jersey,83102,100763,130239,157404
New Mexico,56766,71277,77923,83592
New York,69135,87550,105435,131389
North Carolina,61811,78415,89965,109590
North Dakota,66813,89505,104222,122543
Ohio,61617,77816,94913,113435
Oklahoma,55362,71043,82213,91528
Oregon,70266,86269,103282,119432
Pennsylvania,66923,81574,103172,125861
Rhode Island,72515,93429,119892,138933
South Carolina,59661,74874,87940,102244
South Dakota,63862,83730,97624,113008
Tennessee,59052,75424,88939,99689
Texas,61460,79870,89842,108866
Utah,78917,87303,106284,120187
Vermont,65712,88215,111980,132356
Virginia,75756,95482,116903,139667
Washington,86558,100800,118442,139828
West Virginia,57979,64478,83128,90164
Wisconsin,66106,82346,101490,122571
Wyoming,61866,77243,93279,113060
