STATE,TOTAL TRANSACTION TAX
Alabama,12.64
Alaska,14.63
Arizona,12.70
Arkansas,21.46
California,13.19
Colorado,13.18
Connecticut,8.53
Delaware,8.64
District of Columbia,12.26
Florida,15.09
Georgia,12.92
Hawaii,8.01
Idaho,3.35
Illinois,23.24
Indiana,11.55
Iowa,10.07
Kansas,18.43
Kentucky,11.51
Louisiana,11.94
Maine,9.28
Maryland,16.21
Massachusetts,10.72
Michigan,10.05
Minnesota,11.92
Mississippi,10.13
Missouri,14.92
Montana,7.03
Nebraska,20.40
Nevada,5.10
New Hampshire,9.23
New Jersey,9.31
New Mexico,13.00
New York,20.57
North Carolina,9.12
North Dakota,15.80
Ohio,9.03
Oklahoma,18.31
Oregon,8.93
Pennsylvania,17.81
Puerto Rico,13.86
Rhode Island,15.72
South Carolina,13.49
South Dakota,16.70
Tennessee,13.97
Texas,17.47
Utah,18.43
Vermont,8.90
Virginia,7.80
Washington,21.60
West Virginia,11.95
Wisconsin,8.23
Wyoming,9.23
