"state","ElectricityCostsAvgRetailPrice(cents/kWh)","ElectricityCostsNetGeneration(MWh)","ElectricityCostsNetSummerCapacity(MW)","ElectricityCostsTotalRetailSales(MWh)"
"Alabama",10.18,142733330,28911,85585166
"Alaska",20.02,6595818,2774,5969339
"Arizona",10.73,108604620,27596,81219990
"Arkansas",9.1,61100068,14832,48663142
"California",19.65,197165106,81184,247249865
"Colorado",10.9,56838472,18296,56351209
"Connecticut",18.32,44079943,10112,27737606
"Delaware",10.5,4305126,3273,11479655
"District of Columbia",12.81,211067,48,10083372
"Florida",10.67,246450375,64610,241562082
"Georgia",10.43,124200528,38250,137363952
"Hawaii",30.31,9181831,3013,8936482
"Idaho",8.17,16836473,5076,25285616
"Illinois",10.14,181524459,45879,135688833
"Indiana",10.36,94164796,26842,99740046
"Iowa",9.13,67207008,21771,52893269
"Kansas",10.47,56630703,18432,40491786
"Kentucky",9.12,69908411,17583,74516986
"Louisiana",8.82,98715313,24866,90819346
"Maine",13.96,10908144,5026,11584674
"Maryland",11.48,38235713,13006,59303974
"Massachusetts",19.06,19477347,12747,50798388
"Michigan",12.93,115513130,30141,99813281
"Minnesota",11.08,59195769,18286,66589168
"Mississippi",9.5,67723497,14605,48015364
"Missouri",9.85,76941410,21835,77763041
"Montana",9.5,24947923,6067,14961561
"Nebraska",8.84,37910898,10256,32341170
"Nevada",8.58,41754584,12863,39032042
"New Hampshire",17.37,17193254,4463,10867268
"New Jersey",14.01,61433792,17471,73070466
"New Mexico",9.79,35192365,10806,25393743
"New York",16.11,124944935,39890,141423778
"North Carolina",9.29,129923364,35020,135693077
"North Dakota",8.65,43032378,9503,22863107
"Ohio",9.76,125948008,29283,147717865
"Oklahoma",8.52,80754586,29824,64525137
"Oregon",8.95,61016874,16917,54135205
"Pennsylvania",9.97,241331434,49766,143340154
"Rhode Island",18.44,9322451,2131,7398004
"South Carolina",9.96,98390441,24268,79792136
"South Dakota",10.43,17322409,6280,13041391
"Tennessee",9.78,79057209,21401,99621137
"Texas",9.14,481844256,139751,435627878
"Utah",8.34,42565645,9518,32677627
"Vermont",16.34,2107703,834,5412696
"Virginia",9.14,93478182,28515,125245196
"Washington",8.75,110808401,30609,88198668
"West Virginia",8.87,65836063,14907,32777988
"Wisconsin",11.01,64276480,16428,69426615
"Wyoming",8.25,43460744,10096,15784712
