State,Residential October 2024,Residential October 2023,Commercial October 2024,Commercial October 2023,Industrial October 2024,Industrial October 2023,Transportation October 2024,Transportation October 2023,All Sectors October 2024,All Sectors October 2023
New England,28.27,28.05,20.85,19.19,16.42,15.77,13.87,10.94,23.11,22.02
Connecticut,29.96,29.01,23.05,19.90,17.32,15.95,21.23,16.09,25.25,23.20
Maine,26.22,29.06,18.52,17.74,12.36,13.15,--,--,20.12,21.20
Massachusetts,29.23,28.19,20.59,19.04,18.78,17.47,8.99,6.65,23.60,22.02
New Hampshire,24.70,25.49,19.93,19.06,15.51,15.28,--,--,20.93,20.84
Rhode Island,27.57,30.08,20.05,19.77,18.80,18.87,--,17.42,23.05,23.64
Vermont,23.21,22.11,19.56,18.88,11.58,11.30,--,--,18.97,18.21
Middle Atlantic,21.27,19.67,15.74,15.61,8.45,7.72,12.43,14.21,15.90,15.22
New Jersey,19.58,17.46,14.43,13.63,11.36,11.08,10.77,11.20,15.85,14.70
New York,24.98,21.99,19.10,18.84,9.46,6.54,13.29,15.26,19.73,18.48
Pennsylvania,18.43,18.44,10.95,11.19,7.73,7.63,9.83,10.83,12.13,12.18
East North Central,17.02,16.51,12.19,11.94,8.22,7.86,8.19,7.35,12.14,11.80
Illinois,16.58,15.75,12.35,11.12,9.55,8.25,7.97,7.14,12.59,11.49
Indiana,15.81,15.17,12.59,12.09,7.97,7.93,11.61,13.29,11.35,11.12
Michigan,19.26,19.20,13.50,13.47,8.42,8.26,14.25,14.43,13.69,13.62
Ohio,16.63,15.89,10.94,11.06,7.43,7.02,8.12,6.72,11.35,11.00
Wisconsin,17.14,17.14,12.09,12.78,7.82,8.42,17.92,21.34,11.97,12.47
West North Central,13.65,13.22,9.96,9.99,7.52,7.40,12.48,12.44,10.18,10.03
Iowa,13.28,13.46,10.11,9.69,6.43,6.15,--,--,8.84,8.59
Kansas,14.52,13.45,11.14,10.70,8.03,7.29,--,--,11.25,10.45
Minnesota,15.80,15.45,11.95,12.36,9.07,9.31,13.24,12.40,12.18,12.26
Missouri,12.58,12.20,9.52,9.35,7.43,7.40,12.15,12.48,10.31,10.12
Nebraska,12.13,11.67,8.35,8.57,7.19,7.08,--,--,8.93,8.87
North Dakota,12.08,11.71,6.83,7.55,7.15,7.20,--,--,7.68,7.98
South Dakota,13.86,13.05,10.76,10.41,8.45,8.07,--,--,11.21,10.65
South Atlantic,14.98,15.00,11.06,10.86,7.73,7.45,9.85,10.25,12.09,11.91
Delaware,17.93,17.43,12.77,11.88,8.21,7.52,--,--,13.85,13.19
District of Columbia,18.59,18.03,16.97,17.84,16.61,11.54,10.34,10.51,17.11,17.54
Florida,14.20,15.45,10.96,11.94,8.63,9.16,10.55,11.45,12.56,13.61
Georgia,14.00,13.69,11.53,10.66,6.46,6.28,6.07,6.13,11.20,10.69
Maryland,19.21,18.38,13.17,12.50,9.94,10.29,11.72,11.55,15.35,14.70
North Carolina,15.52,14.40,11.07,10.39,7.88,7.37,10.55,10.14,12.11,11.25
South Carolina,15.74,14.00,11.09,10.06,7.14,6.52,--,--,11.32,10.14
Virginia,15.05,14.16,9.33,8.83,9.24,8.73,8.89,9.98,10.97,10.23
West Virginia,16.38,15.05,11.65,11.48,8.08,7.48,--,--,11.12,10.39
East South Central,13.86,13.48,12.39,11.97,6.83,6.70,--,--,11.01,10.70
Alabama,15.54,15.08,13.69,13.14,7.38,7.23,--,--,11.80,11.46
Kentucky,13.31,13.17,11.72,11.28,6.68,6.43,--,--,10.17,9.81
Mississippi,13.78,13.47,12.11,12.09,6.72,6.92,--,--,10.88,10.88
Tennessee,12.92,12.49,12.04,11.57,6.31,6.15,--,--,10.96,10.61
West South Central,14.72,14.18,8.98,9.15,6.01,6.38,6.72,7.34,9.71,9.74
Arkansas,11.88,12.73,10.40,10.59,6.66,6.93,12.64,13.20,9.40,9.85
Louisiana,11.84,11.95,10.33,10.50,5.43,5.80,11.37,10.61,8.58,8.93
Oklahoma,14.08,13.04,9.75,9.45,6.27,6.05,--,--,9.86,9.35
Texas,15.61,14.89,8.57,8.82,6.05,6.50,3.83,7.17,9.93,9.93
Mountain,14.36,13.86,10.87,10.83,7.35,7.52,10.34,12.92,11.01,10.84
Arizona,15.02,14.53,12.31,11.78,7.63,7.79,11.31,10.51,12.78,12.25
Colorado,15.47,14.50,11.75,11.48,8.76,8.35,9.11,13.64,12.12,11.56
Idaho,12.29,12.07,9.44,9.17,6.14,6.75,--,--,9.14,9.33
Montana,13.35,12.93,12.08,12.32,7.24,8.34,--,--,10.93,11.19
Nevada,14.61,14.63,9.64,10.55,7.67,8.04,9.20,12.48,10.60,10.90
New Mexico,14.23,14.12,10.42,10.76,5.56,5.97,--,--,8.87,9.39
Utah,11.42,11.23,8.05,8.73,7.10,7.38,12.09,12.32,8.80,9.08
Wyoming,14.08,12.49,9.86,8.88,8.46,7.47,--,--,9.70,8.64
Pacific Contiguous,24.32,23.84,23.25,20.40,16.42,14.54,17.61,14.42,22.17,20.23
California,30.22,31.78,27.74,24.75,23.92,20.15,18.48,14.92,27.88,25.92
Oregon,15.25,13.29,11.41,9.91,7.67,7.48,12.63,11.66,11.38,10.32
Washington,12.50,11.33,10.94,10.18,6.72,6.53,11.21,10.12,10.51,9.73
Pacific Noncontiguous,34.90,35.18,29.92,30.65,28.52,30.39,--,--,30.98,31.97
Alaska,25.52,24.04,21.78,20.87,19.33,17.91,--,--,22.41,21.20
Hawaii,41.27,42.68,36.87,38.99,31.99,35.13,--,--,36.26,38.60
U.S. Total,16.94,16.48,13.20,12.73,8.21,8.01,12.35,12.65,13.07,12.67
