"state","GroceryPrices2023AverageMonthlyCostOfGroceriesPerPerson","GroceryPrices2022AverageGroceryIndex(100=AvgCost)"
"Alabama",397.39,97.6
"Alaska",483.24,134.1
"Arizona",302.8,101.5
"Arkansas",282.46,92.7
"California",370.96,115.2
"Colorado",326.92,95.3
"Connecticut",343.3,103
"Delaware",380.39,105.3
"Florida",364.25,105.4
"Georgia",397.97,94.6
"Hawaii",556.76,150.1
"Idaho",281.12,96.3
"Illinois",327.31,98.5
"Indiana",318.03,93.7
"Iowa",347.05,99.5
"Kansas",261.35,93.7
"Kentucky",315.2,93.5
"Louisiana",325.19,97.4
"Maine",372.21,103.4
"Maryland",343.67,111.4
"Massachusetts",406.21,114
"Michigan",327.12,91.6
"Minnesota",395.39,100.7
"Mississippi",423.33,92.4
"Missouri",312.63,95.4
"Montana",323.91,100.9
"Nebraska",336.9,97.4
"Nevada",293.43,104.2
"New Hampshire",183,105.3
"New Jersey",343.67,106.2
"New Mexico",307.79,98.6
"New York",482.87,112.3
"North Carolina",341.1,97.7
"North Dakota",326.66,102.4
"Ohio",341.48,99
"Oklahoma",346.37,93.7
"Oregon",375.41,107.9
"Pennsylvania",401.02,104.6
"Rhode Island",390.19,98.4
"South Carolina",411.29,100.3
"South Dakota",286.23,104.3
"Tennessee",346.37,94.4
"Texas",286.64,90.3
"Utah",282.23,100.2
"Vermont",497.41,106.2
"Virginia",298.01,96.1
"Washington",402.08,108.5
"West Virginia",427.19,98.7
"Wisconsin",385.97,97.5
"Wyoming",345.62,103.2
"United States",354.50180000000006,
