"state","MedianHouseholdIncome2021"
"Alabama",53913
"Alaska",77845
"Arizona",69056
"Arkansas",52528
"California",84907
"Colorado",82254
"Connecticut",83771
"Delaware",71091
"District of Columbia",90088
"Florida",63062
"Georgia",66559
"Hawaii",84857
"Idaho",66474
"Illinois",72205
"Indiana",62743
"Iowa",65600
"Kansas",64124
"Kentucky",55573
"Louisiana",52087
"Maine",64767
"Maryland",90203
"Massachusetts",89645
"Michigan",63498
"Minnesota",77720
"Mississippi",48716
"Missouri",61847
"Montana",63249
"Nebraska",66817
"Nevada",66274
"New Hampshire",88465
"New Jersey",89296
"New Mexico",53992
"New York",74314
"North Carolina",61972
"North Dakota",66519
"Ohio",62262
"Oklahoma",55826
"Oregon",71562
"Pennsylvania",68957
"Rhode Island",74008
"South Carolina",59318
"South Dakota",66143
"Tennessee",59695
"Texas",66963
"Utah",79449
"Vermont",72431
"Virginia",80963
"Washington",84247
"West Virginia",51248
"Wisconsin",67125
"Wyoming",65204
"United States",69243.76470588235
