Rank,State,Effective Tax Rate,Median Home Value or List Price,Average Annual Property Tax
1,Hawaii,0.32%,297400,937.29
2,Alabama,0.40%,200900,803.59
3,Colorado,0.55%,531100,2901.65
4,Wyoming,0.56%,252800,1404.42
5,Louisiana,0.56%,196300,1095.89
6,South Carolina,0.57%,383900,2175.93
7,West Virginia,0.57%,569500,3233.20
8,Utah,0.57%,275400,1570.69
9,Nevada,0.59%,232400,1369.60
10,Delaware,0.61%,337200,2067.97
11,District of Columbia,0.62%,292300,1815.55
12,Arizona,0.63%,402800,2519.82
13,Arkansas,0.64%,179800,1154.52
14,Idaho,0.67%,820100,5455.46
15,Tennessee,0.67%,245000,1635.57
16,Mississippi,0.67%,314600,2105.01
17,New Mexico,0.67%,428900,2880.87
18,Montana,0.74%,221200,1634.00
19,California,0.75%,715900,5347.48
20,North Carolina,0.82%,400400,3265.24
21,Kentucky,0.83%,206600,1710.91
22,Indiana,0.84%,251600,2121.46
23,Washington State,0.87%,365700,3193.47
24,Virginia,0.87%,304700,2664.96
25,Oklahoma,0.89%,204100,1821.13
26,Florida,0.91%,711100,6489.40
27,Georgia,0.92%,354100,3261.51
28,Oregon,0.93%,191700,1786.74
29,North Dakota,0.98%,280600,2746.35
30,Missouri,1.01%,162500,1637.70
31,Alaska,1.04%,336900,3505.87
32,Maryland,1.05%,290600,3047.08
33,Minnesota,1.11%,224400,2484.78
34,Massachusetts,1.14%,398100,4534.54
35,South Dakota,1.17%,254600,2974.75
36,Maine,1.24%,209200,2586.29
37,Kansas,1.34%,194600,2610.67
38,Michigan,1.38%,534700,7369.50
39,Rhode Island,1.40%,245500,3432.79
40,New York,1.40%,243100,3407.29
41,Pennsylvania,1.49%,475600,7087.11
42,Iowa,1.52%,208700,3180.79
43,Ohio,1.59%,243100,3868.19
44,Wisconsin,1.61%,155100,2497.18
45,Nebraska,1.63%,366400,5982.37
46,Texas,1.68%,284800,4776.81
47,Connecticut,1.79%,347200,6213.98
48,Vermont,1.83%,499500,9119.74
49,New Hampshire,1.93%,434700,8389.53
50,Illinois,2.08%,432500,9006.07
51,New Jersey,2.23%,384700,8597.69
