"state","WaterPricesMonthlyWaterBill","WaterPricesTotalMonthlyBills"
"Alabama",30,452.5
"Alaska",68,569.64
"Arizona",64,460.85
"Arkansas",26,404.19
"California",77,437.92
"Colorado",39,371.96
"Connecticut",69,532.71
"Delaware",46,435.85
"Florida",33,458.4
"Georgia",28,474.86
"Hawaii",64,563.53
"Idaho",38,367.87
"Illinois",26,412.36
"Indiana",30,469.51
"Iowa",32,423.88
"Kansas",27,430.78
"Kentucky",49,464.67
"Louisiana",21,389.62
"Maine",24,432.94
"Maryland",46,449.87
"Massachusetts",34,440.37
"Michigan",29,413.07
"Minnesota",28,380.76
"Mississippi",23,412.31
"Missouri",39,447.05
"Montana",38,379.34
"Nebraska",23,379.34
"Nevada",26,376.67
"New Hampshire",27,434.24
"New Jersey",72,453.89
"New Mexico",32,362.81
"New York",30,433.7
"North Carolina",20,400.43
"North Dakota",31,396.93
"Ohio",27,472.71
"Oklahoma",35,407.69
"Oregon",76,407.49
"Pennsylvania",31,443.11
"Rhode Island",32,439.65
"South Carolina",33,453.4
"South Dakota",26,408.75
"Tennessee",43,431.48
"Texas",37,423.9
"Utah",38,345.62
"Vermont",18,405.74
"Virginia",36,430.17
"Washington",75,401.2
"West Virginia",91,486.11
"Wisconsin",18,395.68
"Wyoming",53,399.07
