State,Studio Rent,1 Bedroom Rent,2 Bedroom Rent,3 Bedroom Rent,4 Bedroom Rent
Alabama,780,834,1023,1318,1500
Alaska,1010,1111,1460,2058,2477
Arizona,1050,1158,1432,1935,2258
Arkansas,746,779,964,1267,1519
California,1575,1724,2161,2916,3350
Colorado,1180,1338,1641,2240,2573
Connecticut,1248,1456,1805,2278,2747
Delaware,1107,1185,1468,1895,2204
Florida,1137,1236,1495,1976,2340
Georgia,885,933,1120,1457,1712
Hawaii,1625,1711,2196,3051,3350
Idaho,765,859,1087,1509,1829
Illinois,793,875,1103,1464,1619
Indiana,777,850,1057,1368,1528
Iowa,687,762,961,1288,1453
Kansas,752,811,1023,1349,1586
Kentucky,785,846,1061,1398,1619
Louisiana,764,833,1014,1311,1506
Maine,969,1096,1404,1814,2103
Maryland,1133,1206,1465,1906,2144
Massachusetts,1276,1401,1793,2236,2563
Michigan,812,900,1114,1432,1581
Minnesota,813,875,1101,1503,1820
Mississippi,795,875,1047,1341,1529
Missouri,693,736,930,1222,1418
Montana,781,847,1088,1521,1779
Nebraska,700,780,977,1273,1435
Nevada,1069,1233,1528,2153,2569
New Hampshire,1429,1540,1966,2486,2749
New Jersey,1369,1513,1851,2347,2637
New Mexico,895,1013,1190,1632,1799
New York,1152,1267,1552,1956,2162
North Carolina,951,1000,1189,1572,1880
North Dakota,717,788,943,1328,1600
Ohio,714,771,983,1260,1387
Oklahoma,713,747,948,1255,1435
Oregon,1088,1202,1510,2112,2428
Pennsylvania,875,963,1198,1538,1718
Rhode Island,1446,1489,1858,2368,2954
South Carolina,949,988,1169,1488,1753
South Dakota,757,858,1093,1446,1714
Tennessee,826,870,1075,1413,1607
Texas,908,989,1200,1578,1864
Utah,921,1020,1244,1713,2055
Vermont,1341,1441,1887,2390,2513
Virginia,989,1022,1218,1596,1938
Washington,1183,1303,1610,2222,2595
West Virginia,726,789,976,1305,1527
Wisconsin,775,863,1092,1443,1587
Wyoming,773,905,1116,1572,1880
