State,State Code,Median Family Income,Median Single Income,Yearly 4 Bedroom Rent,Yearly Studio Rent,Yearly Childcare,Yearly Grocery,Yearly Water,Yearly Electricity,Yearly Internet,Yearly Mobile Plan,Yearly Cost for 1 Car,Yearly Healthcare,Total Cost for Family of 4,Income Minus Cost for 4,Total Cost for Single Person,Income Minus Cost for 1
Alabama,AL,69821.0,46718.0,18000.0,9360.0,7280.0,4768.68,360.0,186.48,13.5168,13.5168,24190.0,9280.0,32560.0,37261.0,14488.68,32229.32
Alaska,AK,98667.0,65026.0,29724.0,12120.0,10746.0,5798.88,816.0,306.24,13.755600000000001,13.755600000000001,23518.0,13642.0,51216.0,47451.0,18734.88,46291.119999999995
Arizona,AZ,80129.0,52111.0,27096.0,12600.0,8719.0,3633.6000000000004,768.0,180.24,13.524000000000001,13.524000000000001,26201.0,8756.0,44534.0,35595.0,17001.6,35109.4
Arkansas,AR,66898.0,43711.0,18228.0,8952.0,6575.0,3389.5199999999995,312.0,142.56,14.575199999999999,14.575199999999999,26379.0,9338.0,31378.0,35520.0,12653.52,31057.48
California,CA,86351.0,55179.0,40200.0,18900.0,12168.0,4451.5199999999995,924.0,362.64,13.582799999999999,13.582799999999999,28504.0,10299.0,64536.0,21815.0,24275.52,30903.48
Colorado,CO,96108.0,58298.0,30876.0,14160.0,11911.0,3923.04,468.0,185.64000000000001,13.581599999999998,13.581599999999998,25239.0,8583.0,54698.0,41410.0,18551.04,39746.96
Connecticut,CT,100249.0,58328.0,32964.0,14976.0,13052.0,4119.6,828.0,359.52,13.023599999999998,13.023599999999998,26428.0,12489.0,59068.0,41181.0,19923.6,38404.4
Delaware,DE,89576.0,56705.0,26448.0,13284.0,9579.0,4564.68,552.0,215.16,13.0368,13.0368,23504.0,12899.0,45606.0,43970.0,18400.68,38304.32
Florida,FL,80380.0,51534.0,28080.0,13644.0,7186.0,4371.0,396.0,170.39999999999998,13.8108,13.8108,27235.0,9856.0,42452.0,37928.0,18411.0,33123.0
Georgia,GA,80290.0,48069.0,20544.0,10620.0,7630.0,4775.64,336.0,168.0,13.5504,13.5504,26691.0,8758.0,35804.0,44486.0,15731.64,32337.36
Hawaii,HI,90334.0,56674.0,40200.0,19500.0,12040.0,6681.12,768.0,495.24,12.961200000000002,12.961200000000002,26139.0,10291.0,64280.0,26054.0,26949.12,29724.88
Idaho,ID,76612.0,52502.0,21948.0,9180.0,8317.0,3373.44,456.0,147.48,12.402000000000001,12.402000000000001,25910.0,8148.0,38582.0,38030.0,13009.44,39492.56
Illinois,IL,88536.0,51017.0,19428.0,9516.0,11605.0,3927.7200000000003,312.0,198.95999999999998,14.788799999999998,14.788799999999998,26755.0,10190.0,42638.0,45898.0,13755.720000000001,37261.28
Indiana,IN,78009.0,47740.0,18336.0,9324.0,9589.0,3816.3599999999997,360.0,189.72,13.386,13.386,26430.0,10517.0,37514.0,40495.0,13500.36,34239.64
Iowa,IA,85192.0,47647.0,17436.0,8244.0,9322.0,4164.6,384.0,159.35999999999999,13.208400000000001,13.208400000000001,25366.0,9789.0,36080.0,49112.0,12792.6,34854.4
Kansas,KS,79591.0,49600.0,19032.0,9024.0,8742.0,3136.2000000000003,324.0,174.24,14.211599999999999,14.211599999999999,26840.0,9408.0,36516.0,43075.0,12484.2,37115.8
Kentucky,KY,74038.0,44953.0,19428.0,9420.0,6841.0,3782.3999999999996,588.0,159.72,13.3812,13.3812,26500.0,10257.0,33110.0,40928.0,13790.4,31162.6
Louisiana,LA,72029.0,43278.0,18072.0,9168.0,7800.0,3902.2799999999997,252.0,142.07999999999998,13.4328,13.4328,26375.0,10515.0,33672.0,38357.0,13322.279999999999,29955.72
Maine,ME,80284.0,50336.0,25236.0,11628.0,9891.0,4466.5199999999995,288.0,314.64,13.1136,13.1136,25401.0,12077.0,45018.0,35266.0,16382.52,33953.479999999996
Maryland,MD,105583.0,60674.0,25728.0,13596.0,11106.0,4124.04,552.0,230.52,13.945200000000002,13.945200000000002,26203.0,10839.0,47940.0,57643.0,18272.04,42401.96
Massachusetts,MA,111832.0,60097.0,30756.0,15312.0,16781.0,4874.5199999999995,408.0,350.76,13.2864,13.2864,26340.0,13319.0,64318.0,47514.0,20594.52,39502.479999999996
Michigan,MI,82639.0,49919.0,18972.0,9744.0,11086.0,3925.44,348.0,231.12,13.206,13.206,26786.0,9897.0,41144.0,41495.0,14017.44,35901.56
Minnesota,MN,96849.0,53870.0,21840.0,9756.0,12954.0,4744.68,336.0,189.60000000000002,13.430399999999999,13.430399999999999,26484.0,10846.0,47748.0,49101.0,14836.68,39033.32
Mississippi,MS,63042.0,41012.0,18348.0,9540.0,5439.0,5079.96,276.0,165.35999999999999,13.215599999999998,13.215599999999998,25702.0,9394.0,29226.0,33816.0,14895.96,26116.04
Missouri,MO,76906.0,46876.0,17016.0,8316.0,7062.0,3751.56,468.0,150.96,13.7904,13.7904,25340.0,9921.0,31140.0,45766.0,12535.56,34340.44
Montana,MT,79225.0,49637.0,21348.0,9372.0,9334.0,3886.92,456.0,160.2,12.8436,12.8436,23624.0,10212.0,40016.0,39209.0,13714.92,35922.08
Nebraska,NE,85012.0,48851.0,17220.0,8400.0,11440.0,4042.7999999999997,276.0,145.56,14.448,14.448,25927.0,10514.0,40100.0,44912.0,12718.8,36132.2
Nevada,NV,77455.0,52546.0,30828.0,12828.0,9275.0,3521.16,312.0,175.32,12.611999999999998,12.611999999999998,27357.0,8348.0,49378.0,28077.0,16661.16,35884.84
New Hampshire,NH,114778.0,66338.0,32988.0,17148.0,11114.0,2196.0,324.0,296.4,13.107600000000001,13.107600000000001,22760.0,11793.0,55216.0,59562.0,19668.0,46670.0
