STATE,1 EARNER,2 PEOPLE,3 PEOPLE,4 PEOPLE,Total Costs for One Year of Car Ownership,Annual Gas,Average Insurance,TOTAL TRANSACTION TAX,ChildCareCostsAnnualCostPerChild,ChildCareCostsSingleParentMedianIncome,ChildCareCostsPercSingleParentMedianIncome,ChildCareCostsMarriedCoupleMedianIncome,ChildCareCostsMarriedCouplePercMedianIncome,ElectricityCostsAvgRetailPrice(cents/kWh),ElectricityCostsNetGeneration(MWh),ElectricityCostsNetSummerCapacity(MW),ElectricityCostsTotalRetailSales(MWh),Residential October 2024,Residential October 2023,Commercial October 2024,Commercial October 2023,Industrial October 2024,Industrial October 2023,Transportation October 2024,Transportation October 2023,All Sectors October 2024,All Sectors October 2023,GroceryPrices2023AverageMonthlyCostOfGroceriesPerPerson,GroceryPrices2022AverageGroceryIndex(100=AvgCost),HealthCareCostsSpendingPerCapita2020KFF,Cost-ProhibitedCare,HealthCareCostsSpendingPerCapita2020Forbes,Average annual premium,Average monthly premium,Difference from national average,Price of 4 bedroom home,StartingCostMonthly,MedianHouseholdIncome2021,Rank,2024 Pop.,2023 Pop.,Change,2020 Pop.,Change (2020),% of US,Density (/mi²),WaterPricesMonthlyWaterBill,WaterPricesTotalMonthlyBills,Studio Rent,1 Bedroom Rent,2 Bedroom Rent,3 Bedroom Rent,4 Bedroom Rent,Gross Income 1 Person,Net Income 1 Person,Gross Income 2 People,Net Income 2 People,Gross Income 3 People,Net Income 3 People,Gross Income 4 People,Net Income 4 People,Code
Alabama,59605,72419,86685,94373,24190,1983,1860,12.64,7280,22307,32.6,87714,8.3,10.18,142733330,28911,85585166,15.54,15.08,13.69,13.14,7.38,7.23,--,--,11.80,11.46,397.39,97.6,9280,45.2,8788,2817,235,513,350982,29.99,53913,24,5143030,5108470,0.68%,5031860,2.21%,1.53%,102,30,452.5,780,834,1023,1318,1500,59605,46718.0,72419,55233.0,86685,64713.0,94373,69821.0,AL
Alaska,82512,98650,114293,131159,23518,2482,1676,14.63,10746,36690,29.3,105852,10.2,20.02,6595818,2774,5969339,25.52,24.04,21.78,20.87,19.33,17.91,--,--,22.41,21.20,483.24,134.1,13642,35.8,13188,986,82,1319,462654,40,77845,48,733536,733406,0.02%,732964,0.08%,0.22%,1,68,569.64,1010,1111,1460,2058,2477,82512,65026.0,98650,76379.0,114293,87139.0,131159,98667.0,AK
Arizona,66340,83660,94526,107944,26201,2298,1812,12.70,8719,30416,28.7,88352,9.9,10.73,108604620,27596,81219990,15.02,14.53,12.31,11.78,7.63,7.79,11.31,10.51,12.78,12.25,302.8,101.5,8756,44.4,8239,2229,186,76,505839,19.99,69056,14,7497000,7431340,0.88%,7186680,4.32%,2.23%,66,64,460.85,1050,1158,1432,1935,2258,66340,52111.0,83660,63828.0,94526,71179.0,107944,80129.0,AZ
Arkansas,54658,67179,77167,90146,26379,1899,1957,21.46,6575,23977,27.4,79427,8.3,9.1,61100068,14832,48663142,11.88,12.73,10.40,10.59,6.66,6.93,12.64,13.20,9.40,9.85,282.46,92.7,9338,44.6,8912,2972,248,667,348885,30,52528,33,3089060,3067730,0.69%,3014350,2.48%,0.92%,59,26,404.19,746,779,964,1267,1519,54658,43711.0,67179,51939.0,77167,58476.0,90146,66898.0,AR
California,74819,96600,109458,128533,28504,3167,2416,13.19,12168,32304,37.7,104342,11.7,19.65,197165106,81184,247249865,30.22,31.78,27.74,24.75,23.92,20.15,18.48,14.92,27.88,25.92,370.96,115.2,10299,33.3,9665,1480,123,825,902561,29.99,84907,1,38889800,38965200,-0.19%,39503200,-1.55%,11.58%,250,77,437.92,1575,1724,2161,2916,3350,74819,55179.0,96600,68034.0,109458,75472.0,128533,86351.0,CA
Colorado,77331,101720,120195,135820,25239,2099,2337,13.18,11911,35019,34,106653,11.2,10.9,56838472,18296,56351209,15.47,14.50,11.75,11.48,8.76,8.35,9.11,13.64,12.12,11.56,326.92,95.3,8583,53.1,8289,3222,268,917,625487,25,82254,21,5914180,5877610,0.62%,5785220,2.23%,1.76%,57,39,371.96,1180,1338,1641,2240,2573,77331,58298.0,101720,74318.0,120195,86139.0,135820,96108.0,CO
Connecticut,81285,101344,124441,149181,26428,2218,1725,8.53,13052,33515,38.9,131995,9.9,18.32,44079943,10112,27737606,29.96,29.01,23.05,19.90,17.32,15.95,21.23,16.09,25.25,23.20,343.3,103,12489,21.3,11899,1605,134,700,532870,30,83771,29,3625650,3617180,0.23%,3577590,1.34%,1.08%,749,69,532.71,1248,1456,1805,2278,2747,81285,58328.0,101344,70915.0,124441,85007.0,149181,100249.0,CT
Delaware,75674,92239,104443,128053,23504,2077,2063,8.64,9579,31235,30.7,106395,9,10.5,4305126,3273,11479655,17.93,17.43,12.77,11.88,8.21,7.52,--,--,13.85,13.19,380.39,105.3,12899,28.1,12294,966,81,1338,469782,19.99,71091,45,1044320,1031890,1.21%,991862,5.29%,0.31%,536,46,435.85,1107,1185,1468,1895,2204,75674,56705.0,92239,67265.0,104443,74975.0,128053,89576.0,DE
Florida,62973,77639,89908,104069,27235,2248,2694,15.09,7186,29625,24.3,86244,8.3,10.67,246450375,64610,241562082,14.20,15.45,10.96,11.94,8.63,9.16,10.55,11.45,12.56,13.61,364.25,105.4,9856,51.9,9501,5527,461,3223,508420,30,63062,3,22975900,22610700,1.62%,21591300,6.41%,6.84%,428,33,458.4,1137,1236,1495,1976,2340,62973,51534.0,77639,61851.0,89908,70482.0,104069,80380.0,FL
Georgia,62468,79803,90959,112675,26691,2124,1970,12.92,7630,27539,27.7,93267,8.2,10.43,124200528,38250,137363952,14.00,13.69,11.53,10.66,6.46,6.28,6.07,6.13,11.20,10.69,397.97,94.6,8758,39.9,8282,2014,168,290,406538,19.99,66559,8,11145300,11029200,1.05%,10732400,3.85%,3.32%,194,28,474.86,885,933,1120,1457,1712,62468,48069.0,79803,59268.0,90959,66475.0,112675,80290.0,GA
